"filename", "language", "Vue", "JavaScript", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\16473\Desktop\SmartPurchase\spforestage\README.md", "Markdown", 0, 0, 0, 15, 0, 0, 0, 5, 20
"c:\Users\16473\Desktop\SmartPurchase\spforestage\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\16473\Desktop\SmartPurchase\spforestage\package-lock.json", "JSON", 0, 0, 0, 0, 24368, 0, 0, 1, 24369
"c:\Users\16473\Desktop\SmartPurchase\spforestage\package.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 1, 32
"c:\Users\16473\Desktop\SmartPurchase\spforestage\postcss.config.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\16473\Desktop\SmartPurchase\spforestage\public\index.html", "HTML", 0, 0, 0, 0, 0, 16, 1, 1, 18
"c:\Users\16473\Desktop\SmartPurchase\spforestage\public\manifest.json", "JSON", 0, 0, 0, 0, 209, 0, 1, 1, 211
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\App.vue", "Vue", 105, 0, 0, 0, 0, 0, 108, 7, 220
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\assets\backimage\spbackstage.html", "HTML", 0, 0, 0, 0, 0, 377, 2, 42, 421
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\assets\css\base.css", "CSS", 0, 0, 50, 0, 0, 0, 3, 10, 63
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\assets\css\custom.css", "CSS", 0, 0, 134, 0, 0, 0, 4, 4, 142
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\assets\css\normalize.css", "CSS", 0, 0, 143, 0, 0, 0, 126, 73, 342
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\assets\css\table.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\components\AddrAdd.vue", "Vue", 149, 0, 0, 0, 0, 0, 1, 3, 153
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\components\AddrEdit.vue", "Vue", 149, 0, 0, 0, 0, 0, 1, 3, 153
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\components\AddrManage.vue", "Vue", 341, 0, 0, 0, 0, 0, 5, 8, 354
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\components\Pay.vue", "Vue", 225, 0, 0, 0, 0, 0, 4, 3, 232
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\components\PostCard.vue", "Vue", 142, 0, 0, 0, 0, 0, 2, 2, 146
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\components\loading.vue", "Vue", 35, 0, 0, 0, 0, 0, 1, 2, 38
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\main.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\network\address.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 1, 49
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\network\agency.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 2, 29
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\network\payment.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 5, 56
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\network\post.js", "JavaScript", 0, 101, 0, 0, 0, 0, 0, 10, 111
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\network\request.js", "JavaScript", 0, 41, 0, 0, 0, 0, 4, 4, 49
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\network\tag.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 7, 41
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\network\transship.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 9, 78
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\network\user.js", "JavaScript", 0, 80, 0, 0, 0, 0, 1, 10, 91
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\router\index.js", "JavaScript", 0, 38, 0, 0, 0, 0, 9, 9, 56
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\store\index.js", "JavaScript", 0, 127, 0, 0, 0, 0, 7, 3, 137
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\utils\image.js", "JavaScript", 0, 59, 0, 0, 0, 0, 14, 3, 76
"c:\Users\16473\Desktop\SmartPurchase\spforestage\src\utils\spider.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 1, 22
